year,month,electric_price,diesel_price,petrol_price,data_source
2010,1,0.39731592403225807,9.12,10.59,Prisdatabase.xlsx
2010,2,0.51298582675,9.16,10.65,Prisdatabase.xlsx
2010,3,0.42313568551612896,9.5,11.06,Prisdatabase.xlsx
2010,4,0.35190733333333335,9.81,11.25,Prisdatabase.xlsx
2010,5,0.3198038709677419,9.77,11.12,Prisdatabase.xlsx
2010,6,0.3330616272333335,9.87,11.16,Prisdatabase.xlsx
2010,7,0.3385764467741935,9.62,10.97,Prisdatabase.xlsx
2010,8,0.31952180038709677,9.67,10.93,Prisdatabase.xlsx
2010,9,0.3676471451999999,9.71,10.91,Prisdatabase.xlsx
2010,10,0.3702367741935484,9.76,10.92,Prisdatabase.xlsx
2010,11,0.4083238586666667,9.9,11.09,Prisdatabase.xlsx
2010,12,0.6084932258064516,10.38,11.59,Prisdatabase.xlsx
2011,1,0.5187909677419356,10.64,11.81,Prisdatabase.xlsx
2011,2,0.4806121428571428,10.89,11.9,Prisdatabase.xlsx
2011,3,0.4788971758387096,11.31,12.34,Prisdatabase.xlsx
2011,4,0.4015335560666667,11.38,12.66,Prisdatabase.xlsx
2011,5,0.4063367097741936,11.09,12.6,Prisdatabase.xlsx
2011,6,0.36094866666666675,11.3,12.39,Prisdatabase.xlsx
2011,7,0.2891851612903227,11.42,12.56,Prisdatabase.xlsx
2011,8,0.29902322580645163,11.2,12.36,Prisdatabase.xlsx
2011,9,0.21552599999999994,11.41,12.58,Prisdatabase.xlsx
2011,10,0.20803419354838715,11.47,12.33,Prisdatabase.xlsx
2011,11,0.3063933333333334,11.71,12.18,Prisdatabase.xlsx
2011,12,0.25077741935483877,11.5,12.24,Prisdatabase.xlsx
2012,1,0.27639516129032254,11.86,12.75,Prisdatabase.xlsx
2012,2,0.3647065517241379,12.03,13.08,Prisdatabase.xlsx
2012,3,0.2170735483870968,12.19,13.55,Prisdatabase.xlsx
2012,4,0.23589700000000002,12.08,13.6,Prisdatabase.xlsx
2012,5,0.2118638709677419,11.78,13.09,Prisdatabase.xlsx
2012,6,0.18613500000000002,11.35,12.77,Prisdatabase.xlsx
2012,7,0.10190193548387094,11.78,13.11,Prisdatabase.xlsx
