"Dato";"Pris"
"1-1-2018";"10,37"
"2-1-2018";"10,29"
"3-1-2018";"10,29"
"4-1-2018";"10,29"
"5-1-2018";"10,29"
"6-1-2018";"10,29"
"7-1-2018";"10,29"
"8-1-2018";"10,29"
"9-1-2018";"10,29"
"10-1-2018";"10,29"
"11-1-2018";"10,29"
"12-1-2018";"10,29"
"13-1-2018";"10,29"
"14-1-2018";"10,29"
"15-1-2018";"10,29"
"16-1-2018";"10,29"
"17-1-2018";"10,19"
"18-1-2018";"10,19"
"19-1-2018";"10,19"
"20-1-2018";"10,19"
"21-1-2018";"10,19"
"22-1-2018";"10,09"
"23-1-2018";"10,09"
"24-1-2018";"10,09"
"25-1-2018";"10,19"
"26-1-2018";"10,19"
"27-1-2018";"10,19"
"28-1-2018";"10,19"
"29-1-2018";"10,19"
"30-1-2018";"10,29"
"31-1-2018";"10,29"
"1-2-2018";"10,19"
"2-2-2018";"10,19"
"3-2-2018";"10,19"
"4-2-2018";"10,19"
"5-2-2018";"10,19"
"6-2-2018";"10,19"
"7-2-2018";"10,09"
"8-2-2018";"10,09"
"9-2-2018";"9,99"
"10-2-2018";"9,99"
"11-2-2018";"9,99"
"12-2-2018";"9,99"
"13-2-2018";"9,89"
"14-2-2018";"9,89"
"15-2-2018";"9,89"
"16-2-2018";"9,89"
"17-2-2018";"9,89"
"18-2-2018";"9,89"
"19-2-2018";"9,89"
"20-2-2018";"9,89"
"21-2-2018";"9,99"
"22-2-2018";"9,99"
"23-2-2018";"9,99"
"24-2-2018";"9,99"
"25-2-2018";"9,99"
"26-2-2018";"10,09"
"27-2-2018";"10,09"
"28-2-2018";"10,09"
"1-3-2018";"10,09"
"2-3-2018";"9,99"
"3-3-2018";"9,99"
"4-3-2018";"9,99"
"5-3-2018";"9,99"
"6-3-2018";"9,99"
"7-3-2018";"9,99"
"8-3-2018";"9,99"
"9-3-2018";"9,99"
"10-3-2018";"9,99"
"11-3-2018";"9,99"
"12-3-2018";"9,99"
"13-3-2018";"9,99"
"14-3-2018";"9,99"
"15-3-2018";"9,99"
"16-3-2018";"9,99"
"17-3-2018";"9,99"
"18-3-2018";"9,99"
"19-3-2018";"9,99"
"20-3-2018";"10,09"
"21-3-2018";"10,09"
"22-3-2018";"10,19"
"23-3-2018";"10,19"
"24-3-2018";"10,19"
"25-3-2018";"10,19"
"26-3-2018";"10,19"
"27-3-2018";"10,19"
"28-3-2018";"10,29"
"29-3-2018";"10,29"
"30-3-2018";"10,29"
"31-3-2018";"10,29"
"1-4-2018";"10,29"
"2-4-2018";"10,29"
"3-4-2018";"10,19"
"4-4-2018";"10,19"
"5-4-2018";"10,19"
"6-4-2018";"10,29"
"7-4-2018";"10,29"
"8-4-2018";"10,29"
"9-4-2018";"10,29"
"10-4-2018";"10,29"
"11-4-2018";"10,29"
"12-4-2018";"10,39"
"13-4-2018";"10,39"
"14-4-2018";"10,39"
"15-4-2018";"10,39"
"16-4-2018";"10,39"
"17-4-2018";"10,39"
"18-4-2018";"10,39"
"19-4-2018";"10,39"
"20-4-2018";"10,49"
"21-4-2018";"10,49"
"22-4-2018";"10,49"
"23-4-2018";"10,59"
"24-4-2018";"10,59"
"25-4-2018";"10,59"
"26-4-2018";"10,69"
"27-4-2018";"10,69"
"28-4-2018";"10,69"
"29-4-2018";"10,69"
"30-4-2018";"10,69"
"1-5-2018";"10,69"
"2-5-2018";"10,69"
"3-5-2018";"10,69"
"4-5-2018";"10,69"
"5-5-2018";"10,69"
"6-5-2018";"10,69"
"7-5-2018";"10,79"
"8-5-2018";"10,79"
"9-5-2018";"10,89"
"10-5-2018";"10,89"
"11-5-2018";"10,89"
"12-5-2018";"10,89"
"13-5-2018";"10,89"
"14-5-2018";"10,89"
"15-5-2018";"10,99"
"16-5-2018";"10,99"
"17-5-2018";"11,09"
"18-5-2018";"11,19"
"19-5-2018";"11,19"
"20-5-2018";"11,19"
"21-5-2018";"11,19"
"22-5-2018";"11,19"
"23-5-2018";"11,19"
"24-5-2018";"11,19"
"25-5-2018";"11,19"
"26-5-2018";"11,19"
"27-5-2018";"11,19"
"28-5-2018";"11,19"
"29-5-2018";"11,09"
"30-5-2018";"11,09"
"31-5-2018";"11,09"
"1-6-2018";"11,09"
"2-6-2018";"11,09"
"3-6-2018";"11,09"
"4-6-2018";"10,99"
"5-6-2018";"10,99"
"6-6-2018";"10,99"
"7-6-2018";"10,99"
"8-6-2018";"10,89"
"9-6-2018";"10,89"
"10-6-2018";"10,89"
"11-6-2018";"10,89"
"12-6-2018";"10,89"
"13-6-2018";"10,89"
"14-6-2018";"10,89"
"15-6-2018";"10,99"
"16-6-2018";"10,99"
"17-6-2018";"10,99"
"18-6-2018";"10,99"
"19-6-2018";"10,99"
"20-6-2018";"10,99"
"21-6-2018";"10,79"
"22-6-2018";"10,79"
"23-6-2018";"10,79"
"24-6-2018";"10,79"
"25-6-2018";"10,79"
"26-6-2018";"10,79"
"27-6-2018";"10,79"
"28-6-2018";"10,99"
"29-6-2018";"10,99"
"30-6-2018";"10,99"
"1-7-2018";"10,99"
"2-7-2018";"10,99"
"3-7-2018";"10,99"
"4-7-2018";"10,99"
"5-7-2018";"10,99"
"6-7-2018";"10,99"
"7-7-2018";"10,99"
"8-7-2018";"10,99"
"9-7-2018";"10,99"
"10-7-2018";"10,99"
"11-7-2018";"11,09"
"12-7-2018";"11,09"
"13-7-2018";"10,79"
"14-7-2018";"10,79"
"15-7-2018";"10,79"
"16-7-2018";"10,89"
"17-7-2018";"10,89"
"18-7-2018";"10,89"
"19-7-2018";"10,89"
"20-7-2018";"10,89"
"21-7-2018";"10,89"
"22-7-2018";"10,89"
"23-7-2018";"10,89"
"24-7-2018";"10,89"
"25-7-2018";"10,89"
"26-7-2018";"10,89"
"27-7-2018";"10,99"
"28-7-2018";"10,99"
"29-7-2018";"10,99"
"30-7-2018";"10,99"
"31-7-2018";"10,99"
"1-8-2018";"10,99"
"2-8-2018";"10,89"
"3-8-2018";"10,89"
"4-8-2018";"10,89"
"5-8-2018";"10,89"
"6-8-2018";"10,89"
"7-8-2018";"10,99"
"8-8-2018";"10,99"
"9-8-2018";"10,89"
"10-8-2018";"10,89"
"11-8-2018";"10,89"
"12-8-2018";"10,89"
"13-8-2018";"10,89"
"14-8-2018";"10,99"
"15-8-2018";"10,99"
"16-8-2018";"10,99"
"17-8-2018";"10,99"
"18-8-2018";"10,99"
"19-8-2018";"10,99"
"20-8-2018";"10,99"
"21-8-2018";"10,99"
"22-8-2018";"10,89"
"23-8-2018";"10,89"
"24-8-2018";"10,99"
"25-8-2018";"10,99"
"26-8-2018";"10,99"
"27-8-2018";"11,09"
"28-8-2018";"11,09"
"29-8-2018";"11,09"
"30-8-2018";"11,09"
"31-8-2018";"11,09"
"1-9-2018";"11,09"
"2-9-2018";"11,09"
"3-9-2018";"11,19"
"4-9-2018";"11,19"
"5-9-2018";"11,19"
"6-9-2018";"11,09"
"7-9-2018";"11,09"
"8-9-2018";"11,09"
"9-9-2018";"11,09"
"10-9-2018";"11,09"
"11-9-2018";"11,09"
"12-9-2018";"11,19"
"13-9-2018";"11,19"
"14-9-2018";"11,19"
"15-9-2018";"11,19"
"16-9-2018";"11,19"
"17-9-2018";"11,19"
"18-9-2018";"11,09"
"19-9-2018";"11,09"
"20-9-2018";"11,09"
"21-9-2018";"11,09"
"22-9-2018";"11,09"
"23-9-2018";"11,09"
"24-9-2018";"11,09"
"25-9-2018";"11,19"
"26-9-2018";"11,29"
"27-9-2018";"11,29"
"28-9-2018";"11,29"
"29-9-2018";"11,29"
"30-9-2018";"11,29"
"1-10-2018";"11,49"
"2-10-2018";"11,49"
"3-10-2018";"11,59"
"4-10-2018";"11,59"
"5-10-2018";"11,69"
"6-10-2018";"11,69"
"7-10-2018";"11,69"
"8-10-2018";"11,69"
"9-10-2018";"11,59"
"10-10-2018";"11,59"
"11-10-2018";"11,59"
"12-10-2018";"11,59"
"13-10-2018";"11,59"
"14-10-2018";"11,59"
"15-10-2018";"11,59"
"16-10-2018";"11,49"
"17-10-2018";"11,49"
"18-10-2018";"11,39"
"19-10-2018";"11,39"
"20-10-2018";"11,39"
"21-10-2018";"11,39"
"22-10-2018";"11,49"
"23-10-2018";"11,49"
"24-10-2018";"11,49"
"25-10-2018";"11,49"
"26-10-2018";"11,49"
"27-10-2018";"11,49"
"28-10-2018";"11,49"
"29-10-2018";"11,49"
"30-10-2018";"11,49"
"31-10-2018";"11,49"
"1-11-2018";"11,49"
"2-11-2018";"11,49"
"3-11-2018";"11,49"
"4-11-2018";"11,49"
"5-11-2018";"11,39"
"6-11-2018";"11,39"
"7-11-2018";"11,39"
"8-11-2018";"11,39"
"9-11-2018";"11,39"
"10-11-2018";"11,39"
"11-11-2018";"11,39"
"12-11-2018";"11,39"
"13-11-2018";"11,49"
"14-11-2018";"11,29"
"15-11-2018";"11,29"
"16-11-2018";"11,29"
"17-11-2018";"11,29"
"18-11-2018";"11,29"
"19-11-2018";"11,29"
"20-11-2018";"11,29"
"21-11-2018";"11,19"
"22-11-2018";"11,19"
"23-11-2018";"10,89"
"24-11-2018";"10,89"
"25-11-2018";"10,89"
"26-11-2018";"10,79"
"27-11-2018";"10,79"
"28-11-2018";"10,79"
"29-11-2018";"10,79"
"30-11-2018";"10,79"
"1-12-2018";"10,79"
"2-12-2018";"10,79"
"3-12-2018";"10,79"
"4-12-2018";"10,79"
"5-12-2018";"10,79"
"6-12-2018";"10,79"
"7-12-2018";"10,79"
"8-12-2018";"10,79"
"9-12-2018";"10,79"
"10-12-2018";"10,79"
"11-12-2018";"10,59"
"12-12-2018";"10,59"
"13-12-2018";"10,59"
"14-12-2018";"10,59"
"15-12-2018";"10,59"
"16-12-2018";"10,59"
"17-12-2018";"10,69"
"18-12-2018";"10,69"
"19-12-2018";"10,59"
"20-12-2018";"10,59"
"21-12-2018";"10,49"
"22-12-2018";"10,49"
"23-12-2018";"10,49"
"24-12-2018";"10,49"
"25-12-2018";"10,49"
"26-12-2018";"10,49"
"27-12-2018";"10,39"
"28-12-2018";"10,29"
"29-12-2018";"10,29"
"30-12-2018";"10,29"
"31-12-2018";"10,14"
"1-1-2019";"10,19"
"2-1-2019";"10,19"
"3-1-2019";"10,19"
"4-1-2019";"10,29"
"5-1-2019";"10,29"
"6-1-2019";"10,29"
"7-1-2019";"10,29"
"8-1-2019";"10,39"
"9-1-2019";"10,39"
"10-1-2019";"10,49"
"11-1-2019";"10,49"
"12-1-2019";"10,49"
"13-1-2019";"10,49"
"14-1-2019";"10,49"
"15-1-2019";"10,59"
"16-1-2019";"10,59"
"17-1-2019";"10,79"
"18-1-2019";"10,79"
"19-1-2019";"10,79"
"20-1-2019";"10,79"
"21-1-2019";"10,79"
"22-1-2019";"10,79"
"23-1-2019";"10,79"
"24-1-2019";"10,69"
"25-1-2019";"10,69"
"26-1-2019";"10,69"
"27-1-2019";"10,69"
"28-1-2019";"10,69"
"29-1-2019";"10,69"
"30-1-2019";"10,69"
"31-1-2019";"10,59"
"1-2-2019";"10,69"
"2-2-2019";"10,69"
"3-2-2019";"10,69"
"4-2-2019";"10,69"
"5-2-2019";"10,69"
"6-2-2019";"10,69"
"7-2-2019";"10,69"
"8-2-2019";"10,69"
"9-2-2019";"10,69"
"10-2-2019";"10,69"
"11-2-2019";"10,69"
"12-2-2019";"10,69"
"13-2-2019";"10,69"
"14-2-2019";"10,89"
"15-2-2019";"10,89"
"16-2-2019";"10,89"
"17-2-2019";"10,89"
"18-2-2019";"10,99"
"19-2-2019";"10,99"
"20-2-2019";"10,99"
"21-2-2019";"11,09"
"22-2-2019";"11,09"
"23-2-2019";"11,09"
"24-2-2019";"11,09"
"25-2-2019";"11,09"
"26-2-2019";"11,09"
"27-2-2019";"11,09"
"28-2-2019";"11,09"
"1-3-2019";"11,09"
"2-3-2019";"11,09"
"3-3-2019";"11,09"
"4-3-2019";"11,09"
"5-3-2019";"11,09"
"6-3-2019";"10,99"
"7-3-2019";"11,09"
"8-3-2019";"11,09"
"9-3-2019";"11,09"
"10-3-2019";"11,09"
"11-3-2019";"11,09"
"12-3-2019";"11,09"
"13-3-2019";"11,09"
"14-3-2019";"11,09"
"15-3-2019";"11,09"
"16-3-2019";"11,09"
"17-3-2019";"11,09"
"18-3-2019";"10,99"
"19-3-2019";"10,99"
"20-3-2019";"10,99"
"21-3-2019";"11,09"
"22-3-2019";"11,09"
"23-3-2019";"11,09"
"24-3-2019";"11,09"
"25-3-2019";"10,99"
"26-3-2019";"10,99"
"27-3-2019";"10,99"
"28-3-2019";"10,99"
"29-3-2019";"10,99"
"30-3-2019";"10,99"
"31-3-2019";"10,99"
"1-4-2019";"10,99"
"2-4-2019";"10,99"
"3-4-2019";"10,99"
"4-4-2019";"10,99"
"5-4-2019";"10,99"
"6-4-2019";"10,99"
"7-4-2019";"10,99"
"8-4-2019";"11,09"
"9-4-2019";"11,09"
"10-4-2019";"11,09"
"11-4-2019";"11,09"
"12-4-2019";"11,09"
"13-4-2019";"11,09"
"14-4-2019";"11,09"
"15-4-2019";"11,09"
"16-4-2019";"10,99"
"17-4-2019";"11,09"
"18-4-2019";"11,09"
"19-4-2019";"11,09"
"20-4-2019";"11,09"
"21-4-2019";"11,09"
"22-4-2019";"11,09"
"23-4-2019";"11,19"
"24-4-2019";"11,29"
"25-4-2019";"11,29"
"26-4-2019";"11,29"
"27-4-2019";"11,29"
"28-4-2019";"11,29"
"29-4-2019";"11,19"
"30-4-2019";"11,19"
"1-5-2019";"11,19"
"2-5-2019";"11,19"
"3-5-2019";"11,19"
"4-5-2019";"11,19"
"5-5-2019";"11,19"
"6-5-2019";"11,29"
"7-5-2019";"11,29"
"8-5-2019";"11,19"
"9-5-2019";"11,19"
"10-5-2019";"11,09"
"11-5-2019";"11,09"
"12-5-2019";"11,09"
"13-5-2019";"11,19"
"14-5-2019";"11,19"
"15-5-2019";"11,19"
"16-5-2019";"11,29"
"17-5-2019";"11,29"
"18-5-2019";"11,29"
"19-5-2019";"11,29"
"20-5-2019";"11,29"
"21-5-2019";"11,29"
"22-5-2019";"11,29"
"23-5-2019";"11,19"
"24-5-2019";"11,09"
"25-5-2019";"11,09"
"26-5-2019";"11,09"
"27-5-2019";"11,09"
"28-5-2019";"10,99"
"29-5-2019";"11,09"
"30-5-2019";"11,09"
"31-5-2019";"10,99"
"1-6-2019";"10,99"
"2-6-2019";"10,99"
"3-6-2019";"10,89"
"4-6-2019";"10,79"
"5-6-2019";"10,79"
"6-6-2019";"10,69"
"7-6-2019";"10,69"
"8-6-2019";"10,69"
"9-6-2019";"10,69"
"10-6-2019";"10,69"
"11-6-2019";"10,69"
"12-6-2019";"10,69"
"13-6-2019";"10,59"
"14-6-2019";"10,69"
"15-6-2019";"10,69"
"16-6-2019";"10,69"
"17-6-2019";"10,69"
"18-6-2019";"10,69"
"19-6-2019";"10,69"
"20-6-2019";"10,69"
"21-6-2019";"10,89"
"22-6-2019";"10,89"
"23-6-2019";"10,89"
"24-6-2019";"10,89"
"25-6-2019";"10,79"
"26-6-2019";"10,89"
"27-6-2019";"10,99"
"28-6-2019";"10,89"
"29-6-2019";"10,89"
"30-6-2019";"10,89"
"1-7-2019";"10,89"
"2-7-2019";"10,89"
"3-7-2019";"10,89"
"4-7-2019";"10,89"
"5-7-2019";"10,79"
"6-7-2019";"10,79"
"7-7-2019";"10,79"
"8-7-2019";"10,79"
"9-7-2019";"10,79"
"10-7-2019";"10,89"
"11-7-2019";"10,99"
"12-7-2019";"11,09"
"13-7-2019";"11,09"
"14-7-2019";"11,09"
"15-7-2019";"10,99"
"16-7-2019";"10,99"
"17-7-2019";"10,99"
"18-7-2019";"10,99"
"19-7-2019";"10,79"
"20-7-2019";"10,79"
"21-7-2019";"10,79"
"22-7-2019";"10,79"
"23-7-2019";"10,89"
"24-7-2019";"10,89"
"25-7-2019";"10,99"
"26-7-2019";"10,99"
"27-7-2019";"10,99"
"28-7-2019";"10,99"
"29-7-2019";"10,99"
"30-7-2019";"10,99"
"31-7-2019";"10,89"
"1-8-2019";"10,99"
"2-8-2019";"10,99"
"3-8-2019";"10,99"
"4-8-2019";"10,99"
"5-8-2019";"10,99"
"6-8-2019";"10,79"
"7-8-2019";"10,69"
"8-8-2019";"10,59"
"9-8-2019";"10,59"
"10-8-2019";"10,59"
"11-8-2019";"10,59"
"12-8-2019";"10,69"
"13-8-2019";"10,69"
"14-8-2019";"10,89"
"15-8-2019";"10,79"
"16-8-2019";"10,79"
"17-8-2019";"10,79"
