"Dato";"Pris"
"1-1-2007";"9,28"
"2-1-2007";"9,28"
"3-1-2007";"9,26"
"4-1-2007";"9,26"
"5-1-2007";"9,20"
"6-1-2007";"9,12"
"7-1-2007";"9,12"
"8-1-2007";"9,10"
"9-1-2007";"9,04"
"10-1-2007";"9,06"
"11-1-2007";"8,98"
"12-1-2007";"8,96"
"13-1-2007";"8,94"
"14-1-2007";"8,94"
"15-1-2007";"8,92"
"16-1-2007";"8,85"
"17-1-2007";"8,90"
"18-1-2007";"8,80"
"19-1-2007";"8,80"
"20-1-2007";"8,78"
"21-1-2007";"8,78"
"22-1-2007";"8,78"
"23-1-2007";"8,86"
"24-1-2007";"8,92"
"25-1-2007";"8,92"
"26-1-2007";"8,92"
"27-1-2007";"9,02"
"28-1-2007";"9,02"
"29-1-2007";"9,02"
"30-1-2007";"9,02"
"31-1-2007";"8,98"
"1-2-2007";"9,08"
"2-2-2007";"9,20"
"3-2-2007";"9,16"
"4-2-2007";"9,16"
"5-2-2007";"9,14"
"6-2-2007";"9,16"
"7-2-2007";"9,26"
"8-2-2007";"9,22"
"9-2-2007";"9,22"
"10-2-2007";"9,22"
"11-2-2007";"9,18"
"12-2-2007";"9,18"
"13-2-2007";"9,22"
"14-2-2007";"9,18"
"15-2-2007";"9,16"
"16-2-2007";"9,16"
"17-2-2007";"9,14"
"18-2-2007";"9,14"
"19-2-2007";"9,12"
"20-2-2007";"9,18"
"21-2-2007";"9,22"
"22-2-2007";"9,22"
"23-2-2007";"9,32"
"24-2-2007";"9,42"
"25-2-2007";"9,42"
"26-2-2007";"9,44"
"27-2-2007";"9,58"
"28-2-2007";"9,62"
"1-3-2007";"9,65"
"2-3-2007";"9,65"
"3-3-2007";"9,75"
"4-3-2007";"9,75"
"5-3-2007";"9,78"
"6-3-2007";"9,82"
"7-3-2007";"9,72"
"8-3-2007";"9,56"
"9-3-2007";"9,68"
"10-3-2007";"9,71"
"11-3-2007";"9,71"
"12-3-2007";"9,73"
"13-3-2007";"9,70"
"14-3-2007";"9,70"
"15-3-2007";"9,68"
"16-3-2007";"9,58"
"17-3-2007";"9,55"
"18-3-2007";"9,55"
"19-3-2007";"9,52"
"20-3-2007";"9,58"
"21-3-2007";"9,54"
"22-3-2007";"9,52"
"23-3-2007";"9,62"
"24-3-2007";"9,65"
"25-3-2007";"9,65"
"26-3-2007";"9,68"
"27-3-2007";"9,72"
"28-3-2007";"9,85"
"29-3-2007";"9,82"
"30-3-2007";"9,91"
"31-3-2007";"9,91"
"1-4-2007";"9,95"
"2-4-2007";"9,95"
"3-4-2007";"9,98"
"4-4-2007";"9,92"
"5-4-2007";"9,92"
"6-4-2007";"9,92"
"7-4-2007";"9,92"
"8-4-2007";"9,86"
"9-4-2007";"9,86"
"10-4-2007";"9,86"
"11-4-2007";"9,98"
"12-4-2007";"10,04"
"13-4-2007";"10,08"
"14-4-2007";"10,06"
"15-4-2007";"10,06"
"16-4-2007";"10,08"
"17-4-2007";"10,12"
"18-4-2007";"10,12"
"19-4-2007";"10,08"
"20-4-2007";"9,98"
"21-4-2007";"10,08"
"22-4-2007";"10,08"
"23-4-2007";"10,10"
"24-4-2007";"10,08"
"25-4-2007";"10,28"
"26-4-2007";"10,35"
"27-4-2007";"10,32"
"28-4-2007";"10,30"
"29-4-2007";"10,30"
"30-4-2007";"10,28"
"1-5-2007";"10,25"
"2-5-2007";"10,42"
"3-5-2007";"10,50"
"4-5-2007";"10,44"
"5-5-2007";"10,44"
"6-5-2007";"10,42"
"7-5-2007";"10,42"
"8-5-2007";"10,38"
"9-5-2007";"10,38"
"10-5-2007";"10,22"
"11-5-2007";"10,20"
"12-5-2007";"10,24"
"13-5-2007";"10,24"
"14-5-2007";"10,28"
"15-5-2007";"10,38"
"16-5-2007";"10,38"
"17-5-2007";"10,42"
"18-5-2007";"10,42"
"19-5-2007";"10,48"
"20-5-2007";"10,48"
"21-5-2007";"10,48"
"22-5-2007";"10,56"
"23-5-2007";"10,52"
"24-5-2007";"10,42"
"25-5-2007";"10,38"
"26-5-2007";"10,40"
"27-5-2007";"10,40"
"28-5-2007";"10,40"
"29-5-2007";"10,42"
"30-5-2007";"10,38"
"31-5-2007";"10,32"
"1-6-2007";"10,22"
"2-6-2007";"10,25"
"3-6-2007";"10,25"
"4-6-2007";"10,28"
"5-6-2007";"10,26"
"6-6-2007";"10,26"
"7-6-2007";"10,28"
"8-6-2007";"10,22"
"9-6-2007";"10,26"
"10-6-2007";"10,26"
"11-6-2007";"10,28"
"12-6-2007";"10,18"
"13-6-2007";"10,18"
"14-6-2007";"10,18"
"15-6-2007";"10,26"
"16-6-2007";"10,33"
"17-6-2007";"10,33"
"18-6-2007";"10,35"
"19-6-2007";"10,42"
"20-6-2007";"10,42"
"21-6-2007";"10,34"
"22-6-2007";"10,29"
"23-6-2007";"10,33"
"24-6-2007";"10,33"
"25-6-2007";"10,35"
"26-6-2007";"10,38"
"27-6-2007";"10,34"
"28-6-2007";"10,28"
"29-6-2007";"10,25"
"30-6-2007";"10,27"
"1-7-2007";"10,27"
"2-7-2007";"10,27"
"3-7-2007";"10,27"
"4-7-2007";"10,23"
"5-7-2007";"10,23"
"6-7-2007";"10,27"
"7-7-2007";"10,24"
"8-7-2007";"10,24"
"9-7-2007";"10,24"
"10-7-2007";"10,34"
"11-7-2007";"10,40"
"12-7-2007";"10,43"
"13-7-2007";"10,33"
"14-7-2007";"10,31"
"15-7-2007";"10,31"
"16-7-2007";"10,29"
"17-7-2007";"10,19"
"18-7-2007";"10,13"
"19-7-2007";"9,98"
"20-7-2007";"9,94"
"21-7-2007";"9,96"
"22-7-2007";"9,96"
"23-7-2007";"9,98"
"24-7-2007";"10,00"
"25-7-2007";"9,90"
"26-7-2007";"9,80"
"27-7-2007";"9,80"
"28-7-2007";"9,94"
"29-7-2007";"9,94"
"30-7-2007";"9,96"
"31-7-2007";"9,99"
"1-8-2007";"9,94"
"2-8-2007";"9,97"
"3-8-2007";"10,00"
"4-8-2007";"9,96"
"5-8-2007";"9,96"
"6-8-2007";"9,93"
"7-8-2007";"9,93"
"8-8-2007";"9,86"
"9-8-2007";"9,76"
"10-8-2007";"9,80"
"11-8-2007";"9,78"
"12-8-2007";"9,78"
"13-8-2007";"9,76"
"14-8-2007";"9,82"
"15-8-2007";"9,88"
"16-8-2007";"9,80"
"17-8-2007";"9,94"
"18-8-2007";"9,90"
"19-8-2007";"9,90"
"20-8-2007";"9,87"
"21-8-2007";"9,92"
"22-8-2007";"9,83"
"23-8-2007";"9,73"
"24-8-2007";"9,73"
"25-8-2007";"9,76"
"26-8-2007";"9,76"
"27-8-2007";"9,79"
"28-8-2007";"9,87"
"29-8-2007";"9,90"
"30-8-2007";"9,90"
"31-8-2007";"9,92"
"1-9-2007";"9,96"
"2-9-2007";"9,96"
"3-9-2007";"10,00"
"4-9-2007";"10,00"
"5-9-2007";"10,06"
"6-9-2007";"10,11"
"7-9-2007";"10,11"
"8-9-2007";"10,11"
"9-9-2007";"10,11"
"10-9-2007";"10,07"
"11-9-2007";"9,90"
"12-9-2007";"9,80"
"13-9-2007";"9,84"
"14-9-2007";"9,84"
"15-9-2007";"9,92"
"16-9-2007";"9,92"
"17-9-2007";"9,94"
"18-9-2007";"10,04"
"19-9-2007";"10,04"
"20-9-2007";"9,94"
"21-9-2007";"9,94"
"22-9-2007";"9,92"
"23-9-2007";"9,92"
"24-9-2007";"9,90"
"25-9-2007";"9,98"
"26-9-2007";"9,92"
"27-9-2007";"9,82"
"28-9-2007";"9,76"
"29-9-2007";"9,82"
"30-9-2007";"9,82"
"1-10-2007";"9,85"
"2-10-2007";"9,88"
"3-10-2007";"9,72"
"4-10-2007";"9,75"
"5-10-2007";"9,78"
"6-10-2007";"9,80"
"7-10-2007";"9,80"
"8-10-2007";"9,82"
"9-10-2007";"9,86"
"10-10-2007";"9,86"
"11-10-2007";"9,90"
"12-10-2007";"9,82"
"13-10-2007";"9,90"
"14-10-2007";"9,90"
"15-10-2007";"9,92"
"16-10-2007";"9,92"
"17-10-2007";"9,92"
"18-10-2007";"10,10"
"19-10-2007";"10,06"
"20-10-2007";"10,08"
"21-10-2007";"10,08"
"22-10-2007";"10,10"
"23-10-2007";"10,08"
"24-10-2007";"10,02"
"25-10-2007";"9,96"
"26-10-2007";"10,02"
"27-10-2007";"10,08"
"28-10-2007";"10,08"
"29-10-2007";"10,10"
"30-10-2007";"10,14"
"31-10-2007";"10,28"
"1-11-2007";"10,24"
"2-11-2007";"10,30"
"3-11-2007";"10,42"
"4-11-2007";"10,42"
"5-11-2007";"10,44"
"6-11-2007";"10,54"
"7-11-2007";"10,48"
"8-11-2007";"10,46"
"9-11-2007";"10,44"
"10-11-2007";"10,48"
"11-11-2007";"10,48"
"12-11-2007";"10,50"
"13-11-2007";"10,42"
"14-11-2007";"10,38"
"15-11-2007";"10,26"
"16-11-2007";"10,26"
"17-11-2007";"10,26"
"18-11-2007";"10,23"
"19-11-2007";"10,23"
"20-11-2007";"10,28"
"21-11-2007";"10,30"
"22-11-2007";"10,30"
"23-11-2007";"10,32"
"24-11-2007";"10,30"
"25-11-2007";"10,30"
"26-11-2007";"10,28"
"27-11-2007";"10,34"
"28-11-2007";"10,30"
"29-11-2007";"10,23"
"30-11-2007";"10,06"
"1-12-2007";"10,16"
"2-12-2007";"10,16"
"3-12-2007";"10,18"
"4-12-2007";"10,03"
"5-12-2007";"10,03"
"6-12-2007";"10,06"
"7-12-2007";"10,06"
"8-12-2007";"10,10"
"9-12-2007";"10,10"
"10-12-2007";"10,12"
"11-12-2007";"10,08"
"12-12-2007";"10,08"
"13-12-2007";"10,11"
"14-12-2007";"10,26"
"15-12-2007";"10,26"
"16-12-2007";"10,28"
"17-12-2007";"10,28"
"18-12-2007";"10,30"
"19-12-2007";"10,32"
"20-12-2007";"10,27"
"21-12-2007";"10,27"
"22-12-2007";"10,27"
"23-12-2007";"10,27"
"24-12-2007";"10,30"
"25-12-2007";"10,30"
"26-12-2007";"10,30"
"27-12-2007";"10,32"
"28-12-2007";"10,29"
"29-12-2007";"10,44"
"30-12-2007";"10,44"
"31-12-2007";"10,47"
"1-1-2008";"10,54"
"2-1-2008";"10,54"
"3-1-2008";"10,62"
"4-1-2008";"10,64"
"5-1-2008";"10,62"
"6-1-2008";"10,62"
"7-1-2008";"10,60"
"8-1-2008";"10,53"
"9-1-2008";"10,41"
"10-1-2008";"10,50"
"11-1-2008";"10,50"
"12-1-2008";"10,36"
"13-1-2008";"10,36"
"14-1-2008";"10,32"
"15-1-2008";"10,22"
"16-1-2008";"10,20"
"17-1-2008";"10,13"
"18-1-2008";"10,06"
"19-1-2008";"10,06"
"20-1-2008";"10,09"
"21-1-2008";"10,09"
"22-1-2008";"10,14"
"23-1-2008";"10,17"
"24-1-2008";"10,19"
"25-1-2008";"10,16"
"26-1-2008";"10,14"
"27-1-2008";"10,14"
"28-1-2008";"10,12"
"29-1-2008";"10,22"
"30-1-2008";"10,20"
"31-1-2008";"10,26"
"1-2-2008";"10,26"
"2-2-2008";"10,18"
"3-2-2008";"10,18"
"4-2-2008";"10,16"
"5-2-2008";"10,16"
"6-2-2008";"10,16"
"7-2-2008";"10,13"
"8-2-2008";"10,11"
"9-2-2008";"10,14"
"10-2-2008";"10,14"
"11-2-2008";"10,17"
"12-2-2008";"10,31"
"13-2-2008";"10,43"
"14-2-2008";"10,45"
"15-2-2008";"10,47"
"16-2-2008";"10,51"
"17-2-2008";"10,51"
"18-2-2008";"10,55"
"19-2-2008";"10,59"
"20-2-2008";"10,61"
"21-2-2008";"10,68"
"22-2-2008";"10,71"
"23-2-2008";"10,69"
"24-2-2008";"10,69"
"25-2-2008";"10,67"
"26-2-2008";"10,57"
"27-2-2008";"10,60"
"28-2-2008";"10,62"
"29-2-2008";"10,57"
"1-3-2008";"10,55"
"2-3-2008";"10,55"
"3-3-2008";"10,53"
"4-3-2008";"10,49"
"5-3-2008";"10,55"
"6-3-2008";"10,41"
"7-3-2008";"10,41"
"8-3-2008";"10,41"
"9-3-2008";"10,43"
"10-3-2008";"10,43"
"11-3-2008";"10,43"
"12-3-2008";"10,57"
"13-3-2008";"10,61"
"14-3-2008";"10,59"
"15-3-2008";"10,55"
"16-3-2008";"10,55"
"17-3-2008";"10,51"
"18-3-2008";"10,45"
"19-3-2008";"10,30"
"20-3-2008";"10,32"
"21-3-2008";"10,32"
