"Dato";"Pris"
"1-1-2007";"8,14"
"2-1-2007";"8,08"
"3-1-2007";"8,08"
"4-1-2007";"8,04"
"5-1-2007";"7,98"
"6-1-2007";"7,88"
"7-1-2007";"7,88"
"8-1-2007";"7,88"
"9-1-2007";"7,91"
"10-1-2007";"7,90"
"11-1-2007";"7,90"
"12-1-2007";"7,88"
"13-1-2007";"7,88"
"14-1-2007";"7,84"
"15-1-2007";"7,84"
"16-1-2007";"7,88"
"17-1-2007";"7,88"
"18-1-2007";"7,78"
"19-1-2007";"7,76"
"20-1-2007";"7,76"
"21-1-2007";"7,80"
"22-1-2007";"7,82"
"23-1-2007";"7,88"
"24-1-2007";"7,98"
"25-1-2007";"7,92"
"26-1-2007";"7,88"
"27-1-2007";"7,88"
"28-1-2007";"7,98"
"29-1-2007";"8,01"
"30-1-2007";"8,03"
"31-1-2007";"7,98"
"1-2-2007";"7,98"
"2-2-2007";"8,12"
"3-2-2007";"8,12"
"4-2-2007";"8,08"
"5-2-2007";"8,08"
"6-2-2007";"8,10"
"7-2-2007";"8,20"
"8-2-2007";"8,16"
"9-2-2007";"8,18"
"10-2-2007";"8,16"
"11-2-2007";"8,16"
"12-2-2007";"8,14"
"13-2-2007";"8,21"
"14-2-2007";"8,11"
"15-2-2007";"8,11"
"16-2-2007";"8,05"
"17-2-2007";"8,05"
"18-2-2007";"8,01"
"19-2-2007";"8,01"
"20-2-2007";"8,08"
"21-2-2007";"8,08"
"22-2-2007";"8,01"
"23-2-2007";"8,11"
"24-2-2007";"8,11"
"25-2-2007";"8,17"
"26-2-2007";"8,17"
"27-2-2007";"8,27"
"28-2-2007";"8,27"
"1-3-2007";"8,27"
"2-3-2007";"8,24"
"3-3-2007";"8,24"
"4-3-2007";"8,28"
"5-3-2007";"8,28"
"6-3-2007";"8,28"
"7-3-2007";"8,22"
"8-3-2007";"8,22"
"9-3-2007";"8,28"
"10-3-2007";"8,28"
"11-3-2007";"8,26"
"12-3-2007";"8,26"
"13-3-2007";"8,23"
"14-3-2007";"8,16"
"15-3-2007";"8,18"
"16-3-2007";"8,15"
"17-3-2007";"8,15"
"18-3-2007";"8,13"
"19-3-2007";"8,13"
"20-3-2007";"8,16"
"21-3-2007";"8,16"
"22-3-2007";"8,13"
"23-3-2007";"8,13"
"24-3-2007";"8,13"
"25-3-2007";"8,15"
"26-3-2007";"8,15"
"27-3-2007";"8,21"
"28-3-2007";"8,31"
"29-3-2007";"8,28"
"30-3-2007";"8,38"
"31-3-2007";"8,40"
"1-4-2007";"8,40"
"2-4-2007";"8,42"
"3-4-2007";"8,50"
"4-4-2007";"8,50"
"5-4-2007";"8,50"
"6-4-2007";"8,42"
"7-4-2007";"8,42"
"8-4-2007";"8,42"
"9-4-2007";"8,42"
"10-4-2007";"8,39"
"11-4-2007";"8,44"
"12-4-2007";"8,41"
"13-4-2007";"8,46"
"14-4-2007";"8,46"
"15-4-2007";"8,49"
"16-4-2007";"8,49"
"17-4-2007";"8,52"
"18-4-2007";"8,48"
"19-4-2007";"8,40"
"20-4-2007";"8,30"
"21-4-2007";"8,30"
"22-4-2007";"8,34"
"23-4-2007";"8,34"
"24-4-2007";"8,34"
"25-4-2007";"8,44"
"26-4-2007";"8,48"
"27-4-2007";"8,45"
"28-4-2007";"8,45"
"29-4-2007";"8,43"
"30-4-2007";"8,43"
"1-5-2007";"8,43"
"2-5-2007";"8,48"
"3-5-2007";"8,48"
"4-5-2007";"8,48"
"5-5-2007";"8,46"
"6-5-2007";"8,46"
"7-5-2007";"8,44"
"8-5-2007";"8,38"
"9-5-2007";"8,41"
"10-5-2007";"8,32"
"11-5-2007";"8,30"
"12-5-2007";"8,30"
"13-5-2007";"8,36"
"14-5-2007";"8,36"
"15-5-2007";"8,44"
"16-5-2007";"8,42"
"17-5-2007";"8,42"
"18-5-2007";"8,44"
"19-5-2007";"8,44"
"20-5-2007";"8,48"
"21-5-2007";"8,50"
"22-5-2007";"8,53"
"23-5-2007";"8,53"
"24-5-2007";"8,53"
"25-5-2007";"8,53"
"26-5-2007";"8,53"
"27-5-2007";"8,56"
"28-5-2007";"8,58"
"29-5-2007";"8,58"
"30-5-2007";"8,54"
"31-5-2007";"8,48"
"1-6-2007";"8,46"
"2-6-2007";"8,46"
"3-6-2007";"8,48"
"4-6-2007";"8,48"
"5-6-2007";"8,48"
"6-6-2007";"8,51"
"7-6-2007";"8,58"
"8-6-2007";"8,58"
"9-6-2007";"8,58"
"10-6-2007";"8,62"
"11-6-2007";"8,62"
"12-6-2007";"8,58"
"13-6-2007";"8,55"
"14-6-2007";"8,53"
"15-6-2007";"8,61"
"16-6-2007";"8,61"
"17-6-2007";"8,68"
"18-6-2007";"8,68"
"19-6-2007";"8,68"
"20-6-2007";"8,70"
"21-6-2007";"8,70"
"22-6-2007";"8,65"
"23-6-2007";"8,65"
"24-6-2007";"8,73"
"25-6-2007";"8,73"
"26-6-2007";"8,69"
"27-6-2007";"8,64"
"28-6-2007";"8,64"
"29-6-2007";"8,64"
"30-6-2007";"8,64"
"1-7-2007";"8,66"
"2-7-2007";"8,68"
"3-7-2007";"8,64"
"4-7-2007";"8,58"
"5-7-2007";"8,60"
"6-7-2007";"8,60"
"7-7-2007";"8,60"
"8-7-2007";"8,62"
"9-7-2007";"8,64"
"10-7-2007";"8,68"
"11-7-2007";"8,68"
"12-7-2007";"8,73"
"13-7-2007";"8,70"
"14-7-2007";"8,70"
"15-7-2007";"8,72"
"16-7-2007";"8,72"
"17-7-2007";"8,68"
"18-7-2007";"8,65"
"19-7-2007";"8,65"
"20-7-2007";"8,65"
"21-7-2007";"8,65"
"22-7-2007";"8,68"
"23-7-2007";"8,68"
"24-7-2007";"8,68"
